ID,trial,Age,Sex,Race,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
9,25,29,1,4,male,masc,748,707,1,3,6,7,6,7
9,26,29,1,4,male,masc,737,709,1,7,7,6,6,7
9,27,29,1,4,male,masc,750,710,1,3,5,6,7,7
9,28,29,1,4,male,masc,748,713,1,7,7,7,6,6
9,29,29,1,4,male,masc,721,714,1,3,7,6,6,6
9,30,29,1,4,male,masc,744,716,1,3,7,6,6,6
9,31,29,1,4,male,masc,737,719,1,3,7,7,7,7
9,32,29,1,4,male,masc,744,722,1,3,7,6,7,7
9,33,29,1,4,male,masc,748,730,1,7,6,6,6,7
9,34,29,1,4,male,masc,721,733,1,3,7,6,6,7
9,35,29,1,4,male,masc,750,736,2,3,7,7,6,6
9,36,29,1,4,male,masc,748,740,2,4,6,7,6,7
9,37,29,1,4,male,masc,750,743,2,3,7,6,6,7
9,38,29,1,4,male,masc,737,745,1,3,7,7,7,7
9,39,29,1,4,male,masc,744,746,2,3,7,8,7,7
9,40,29,1,4,male,masc,721,749,1,4,7,7,6,6
10,1,26,1,4,male,fem,721,749,1,7,7,8,7,6
10,2,26,1,4,male,fem,744,746,2,5,8,5,4,9
10,3,26,1,4,male,fem,737,745,2,3,7,4,4,6
10,4,26,1,4,male,fem,750,743,2,7,5,7,7,4
10,5,26,1,4,male,fem,748,740,2,6,4,6,6,6
10,6,26,1,4,male,fem,750,736,2,4,7,7,6,7
10,7,26,1,4,male,fem,721,733,1,6,6,6,6,5
10,8,26,1,4,male,fem,748,730,2,3,6,5,4,7
10,9,26,1,4,male,fem,744,722,2,5,5,5,6,7
10,10,26,1,4,male,fem,737,719,2,4,6,4,6,6
10,11,26,1,4,male,fem,744,716,2,2,7,3,4,7
10,12,26,1,4,male,fem,721,714,2,5,6,6,6,7
10,13,26,1,4,male,fem,748,713,2,3,6,5,6,7
10,14,26,1,4,male,fem,750,710,2,6,4,7,6,4
10,15,26,1,4,male,fem,737,709,1,6,5,6,6,4
10,16,26,1,4,male,fem,748,707,2,3,3,5,5,3
10,17,26,1,4,male,fem,744,706,2,5,5,5,5,6
10,18,26,1,4,male,fem,737,704,2,2,3,3,3,5
10,19,26,1,4,male,fem,721,703,1,5,5,4,6,6
10,20,26,1,4,male,fem,750,701,2,4,5,5,5,6
10,21,26,1,4,female,fem,377,103,2,6,7,7,6,4
10,22,26,1,4,female,fem,365,122,2,5,4,6,6,3
10,23,26,1,4,female,fem,173,121,2,6,5,7,6,4
10,24,26,1,4,female,fem,354,144,2,4,7,6,5,7
10,25,26,1,4,female,fem,128,199,2,5,6,7,6,6
10,26,26,1,4,female,fem,365,315,3,3,7,4,4,6
10,27,26,1,4,female,fem,354,319,2,4,5,6,5,5
10,28,26,1,4,female,fem,128,323,2,6,4,6,6,4
10,29,26,1,4,female,fem,377,333,2,4,7,5,3,5
10,30,26,1,4,female,fem,173,338,2,5,6,5,4,6
10,31,26,1,4,female,fem,377,354,2,6,7,5,5,7
10,32,26,1,4,female,fem,365,367,2,4,4,5,5,6
10,33,26,1,4,female,fem,173,371,2,6,7,6,6,7
10,34,26,1,4,female,fem,128,380,1,3,5,3,3,4
10,35,26,1,4,female,fem,354,406,2,4,8,5,5,4
10,36,26,1,4,female,fem,354,413,2,6,5,6,5,6
10,37,26,1,4,female,fem,377,417,2,5,7,7,6,7
10,38,26,1,4,female,fem,365,437,2,6,7,4,5,6
10,39,26,1,4,female,fem,173,508,2,2,5,5,3,6
10,40,26,1,4,female,fem,128,663,2,1,6,3,5,6
11,1,25,2,4,female,masc,377,103,1,7,7,7,7,8
11,2,25,2,4,female,masc,365,112,1,8,6,7,7,7
11,3,25,2,4,female,masc,173,121,1,6,6,7,6,6
11,4,25,2,4,female,masc,354,144,1,7,7,8,7,8
11,5,25,2,4,female,masc,128,199,1,6,4,7,6,5
11,6,25,2,4,female,masc,365,315,1,4,6,5,5,4
11,7,25,2,4,female,masc,354,319,1,5,5,7,6,6
11,8,25,2,4,female,masc,128,323,1,3,4,6,4,5
11,9,25,2,4,female,masc,377,333,1,4,5,4,4,5
11,10,25,2,4,female,masc,173,338,1,6,6,7,6,7
11,11,25,2,4,female,masc,377,354,1,7,8,6,6,7
11,12,25,2,4,female,masc,365,367,1,6,4,7,5,6
11,13,25,2,4,female,masc,173,371,1,6,5,7,7,6
11,14,25,2,4,female,masc,128,380,1,4,3,7,6,3
11,15,25,2,4,female,masc,354,406,3,6,7,6,5,5
11,16,25,2,4,female,masc,354,413,1,5,8,6,5,5
11,17,25,2,4,female,masc,377,417,1,7,5,8,7,7
11,18,25,2,4,female,masc,365,437,1,6,4,7,7,6
11,19,25,2,4,female,masc,173,508,1,5,3,6,6,4
11,20,25,2,4,female,masc,128,663,2,4,3,6,5,6
11,21,25,2,4,male,masc,721,749,1,7,7,6,5,6
11,22,25,2,4,male,masc,744,746,1,6,6,6,5,7
11,23,25,2,4,male,masc,737,745,1,4,8,6,5,6
11,24,25,2,4,male,masc,750,743,3,6,5,6,5,7
11,25,25,2,4,male,masc,748,740,1,4,5,5,4,6
11,26,25,2,4,male,masc,750,736,1,4,6,5,5,6
11,27,25,2,4,male,masc,721,733,1,6,3,7,6,5
11,28,25,2,4,male,masc,748,730,1,6,6,5,5,7
11,29,25,2,4,male,masc,744,722,1,7,6,7,7,6
11,30,25,2,4,male,masc,737,719,1,3,6,5,5,6
11,31,25,2,4,male,masc,744,716,1,2,8,5,4,3
11,32,25,2,4,male,masc,721,714,1,4,6,3,2,6
11,33,25,2,4,male,masc,748,713,3,4,8,6,4,5
11,34,25,2,4,male,masc,750,710,2,6,5,6,6,6
11,35,25,2,4,male,masc,737,709,1,6,3,5,6,5
11,36,25,2,4,male,masc,748,707,1,4,6,2,2,4
11,37,25,2,4,male,masc,744,706,1,4,3,6,5,4
11,38,25,2,4,male,masc,737,704,1,2,7,5,3,3
